canton,surfHab,year
Zürich,282.4,1979-85
Zürich,296.8,1992-97
Zürich,291.3,2003-09
Zürich,264.0,2013-18
Berne,383.4,1979-85
Berne,405.8,1992-97
Berne,432.7,2003-09
Berne,437.9,2013-18
Lucerne,367.6,1979-85
Lucerne,377.6,1992-97
Lucerne,398.7,2003-09
Lucerne,385.2,2013-18
Uri,480.6,1979-85
Uri,499.6,1992-97
Uri,571.2,2003-09
Uri,591.4,2013-18
Schwyz,422.0,1979-85
Schwyz,399.6,1992-97
Schwyz,393.6,2003-09
Schwyz,378.5,2013-18
Obwald,539.3,1979-85
Obwald,534.5,1992-97
Obwald,553.9,2003-09
Obwald,536.8,2013-18
Nidwald,404.5,1979-85
Nidwald,375.2,1992-97
Nidwald,367.9,2003-09
Nidwald,366.7,2013-18
Zoug,336.6,1979-85
Zoug,330.1,1992-97
Zoug,305.8,2003-09
Zoug,287.4,2013-18
Fribourg,561.7,1979-85
Fribourg,570.9,1992-97
Fribourg,562.8,2003-09
Fribourg,527.2,2013-18
Soleure,404.1,1979-85
Soleure,420.9,1992-97
Soleure,442.3,2003-09
Soleure,440.5,2013-18
Bâle-ville,128.7,1979-85
Bâle-ville,132.6,1992-97
Bâle-ville,141.3,2003-09
Bâle-ville,139.0,2013-18
Bâle-campagne,327.9,1979-85
Bâle-campagne,336.7,1992-97
Bâle-campagne,339.5,2003-09
Bâle-campagne,334.0,2013-18
Schaffouse,426.4,1979-85
Schaffouse,432.4,1992-97
Schaffouse,459.2,2003-09
Schaffouse,449.5,2013-18
Appenzell-ext,377.2,1979-85
Appenzell-ext,379.3,1992-97
Appenzell-ext,422.0,2003-09
Appenzell-ext,422.4,2013-18
Appenzell-int,449.9,1979-85
Appenzell-int,483.4,1992-97
Appenzell-int,524.8,2003-09
Appenzell-int,540.0,2013-18
Argovie,422.5,1979-85
Argovie,418.1,1992-97
Argovie,415.6,2003-09
Argovie,386.6,2013-18
Thurgovie,527.5,1979-85
Thurgovie,491.7,1992-97
Thurgovie,509.6,2003-09
Thurgovie,482.3,2013-18
Tessin,480.0,1979-85
Tessin,489.9,1992-97
Tessin,481.8,2003-09
Tessin,471.1,2013-18
Vaud,462.5,1979-85
Vaud,468.8,1992-97
Vaud,467.8,2003-09
Vaud,434.0,2013-18
Valais,631.5,1979-85
Valais,631.7,1992-97
Valais,646.9,2003-09
Valais,620.5,2013-18
Neuchâtel,360.3,1979-85
Neuchâtel,389.8,1992-97
Neuchâtel,401.1,2003-09
Neuchâtel,398.5,2013-18
Genève,235.5,1979-85
Genève,234.3,1992-97
Genève,224.6,2003-09
Genève,213.7,2013-18
Jura,632.7,1979-85
Jura,717.5,1992-97
Jura,809.2,2003-09
Jura,828.8,2013-18
